,Time,Open_buy,High_buy,Low_buy,Close_buy,Vol_buy,Open_sell,High_sell,Low_sell,Close_sell,Vol_sell
0,31503,1639200,1639200,1639100,1639200,34,1639300,1639600,1639300,1639400,34
1,31504,1639000,1639000,1639000,1639000,6,1639400,1639400,1639400,1639400,6
2,31506,1639400,1639700,1639400,1639500,102,1639700,1639900,1639700,1639800,102
3,31507,1639400,1639600,1639400,1639600,24,1639800,1639900,1639700,1639900,24
4,31508,1639600,1640000,1639600,1640000,67,1639900,1640200,1639800,1639800,67
5,31509,1640000,1640000,1639600,1639700,74,1639800,1640000,1639800,1639800,74
6,31510,1639600,1640100,1639600,1640000,108,1639800,1640200,1639800,1640200,108
7,31511,1640000,1640200,1640000,1640200,105,1640200,1640400,1640200,1640400,105
8,31512,1640200,1640300,1640000,1640300,90,1640400,1640400,1640200,1640400,90
9,31513,1640300,1640300,1639900,1640000,153,1640400,1640500,1640000,1640200,153
10,31514,1640000,1640100,1640000,1640100,81,1640200,1640300,1640200,1640300,81
11,31515,1640100,1640100,1640000,1640000,67,1640300,1640400,1640300,1640300,67
12,31516,1640000,1640100,1639900,1640000,64,1640200,1640300,1640200,1640200,64
13,31517,1640100,1640100,1639800,1639900,80,1640200,1640300,1640000,1640200,80
14,31518,1640000,1640000,1640000,1640000,38,1640200,1640400,1640200,1640400,38
15,31519,1640200,1640200,1639900,1639900,95,1640400,1640500,1640100,1640100,95
16,31520,1639900,1640000,1639900,1640000,88,1640100,1640400,1640100,1640300,88
17,31521,1640000,1640000,1640000,1640000,32,1640300,1640300,1640200,1640300,32
18,31523,1640200,1640200,1640200,1640200,3,1640300,1640500,1640400,1640500,3
19,31524,1640200,1640200,1640100,1640100,12,1640500,1640500,1640300,1640300,12
20,31525,1640100,1640100,1640100,1640100,12,1640200,1640300,1640200,1640300,12
21,31527,1640200,1640200,1640200,1640200,3,1640500,1640500,1640500,1640500,3
22,31528,1640200,1640200,1640200,1640200,10,1640500,1640500,1640400,1640400,10
23,31530,1640200,1640200,1640200,1640200,8,1640500,1640400,1640400,1640400,8
24,31531,1640200,1640400,1640200,1640300,14,1640600,1640600,1640500,1640500,14
25,31532,1640200,1640300,1640000,1640200,156,1640500,1640600,1640200,1640500,156
26,31533,1640100,1640100,1640100,1640100,24,1640300,1640300,1640300,1640300,24
27,31534,1640100,1640100,1640100,1640100,26,1640300,1640400,1640300,1640400,26
28,31535,1640200,1640200,1640200,1640200,4,1640400,1640400,1640400,1640400,4
29,31536,1640300,1640300,1640200,1640200,19,1640600,1640600,1640300,1640300,19
30,31537,1640300,1640300,1640300,1640300,1,1640600,1640600,1640600,1640600,1
31,31538,1640300,1640300,1640300,1640300,9,1640600,1640500,1640500,1640500,9
32,31539,1640300,1640300,1640300,1640300,6,1640500,1640500,1640500,1640500,6
33,31541,1640300,1640300,1640300,1640300,28,1640400,1640500,1640400,1640500,28
34,31542,1640300,1640300,1640200,1640200,46,1640500,1640500,1640300,1640300,46
35,31544,1640300,1640300,1640200,1640200,70,1640400,1640400,1640300,1640300,70
36,31545,1640200,1640200,1640100,1640100,75,1640300,1640400,1640200,1640300,75
37,31546,1640100,1640200,1640000,1640200,70,1640300,1640500,1640300,1640400,70
38,31547,1640200,1640200,1640200,1640200,19,1640400,1640400,1640400,1640400,19
39,31549,1640400,1640500,1640400,1640400,45,1640500,1640600,1640500,1640600,45
40,31551,1640600,1640600,1640600,1640600,4,1640800,1640800,1640800,1640800,4
41,31552,1640600,1640600,1640500,1640500,11,1640800,1640800,1640800,1640800,11
42,31553,1640700,1640700,1640600,1640600,13,1640900,1640900,1640800,1640800,13
43,31554,1640800,1640800,1640800,1640800,7,1641000,1641000,1640900,1640900,7
44,31555,1640800,1640800,1640700,1640700,10,1640900,1641000,1640900,1641000,10
45,31556,1640700,1640700,1640700,1640700,5,1641000,1641000,1641000,1641000,5
46,31558,1640800,1640800,1640800,1640800,2,1641000,1641000,1641000,1641000,2
47,31560,1640800,1640800,1640700,1640700,15,1641000,1641000,1640900,1640900,15
48,31561,1640600,1640600,1640600,1640600,18,1640900,1640800,1640800,1640800,18
49,31562,1640600,1640600,1640500,1640500,17,1640800,1640800,1640700,1640700,17
50,31563,1640400,1640400,1640400,1640400,31,1640600,1640600,1640500,1640500,31
51,31564,1640400,1640400,1640400,1640400,10,1640500,1640600,1640600,1640600,10
52,31565,1640500,1640600,1640500,1640600,6,1640800,1640800,1640800,1640800,6
53,31566,1640600,1640600,1640500,1640500,11,1640800,1640800,1640800,1640800,11
54,31567,1640600,1640600,1640600,1640600,6,1640800,1640800,1640800,1640800,6
55,31568,1640600,1640600,1640500,1640500,53,1640800,1640800,1640700,1640700,53
56,31569,1640500,1640700,1640600,1640600,41,1640700,1640800,1640700,1640800,41
57,31570,1640600,1640600,1640500,1640500,61,1640800,1640800,1640600,1640700,61
58,31571,1640500,1640800,1640500,1640700,53,1640700,1640900,1640700,1640900,53
59,31572,1640700,1640800,1640700,1640700,17,1640900,1640900,1640800,1640900,17
60,31573,1640700,1640700,1640700,1640700,9,1640900,1640900,1640900,1640900,9
61,31574,1640700,1640700,1640700,1640700,24,1640900,1640900,1640800,1640800,24
62,31575,1640700,1640700,1640700,1640700,33,1640800,1640900,1640800,1640800,33
63,31576,1640700,1640700,1640700,1640700,31,1640800,1640900,1640800,1640900,31
64,31577,1640800,1640900,1640800,1640900,42,1640900,1641000,1640900,1641000,42
65,31578,1640900,1640900,1640900,1640900,23,1641000,1641000,1641000,1641000,23
66,31579,1640900,1640900,1640800,1640900,56,1641000,1641100,1641000,1641000,56
67,31580,1640900,1640900,1640800,1640800,49,1641000,1641000,1640900,1640900,49
68,31581,1640800,1640800,1640700,1640700,44,1640900,1640900,1640800,1640900,44
69,31582,1640700,1640900,1640700,1640800,41,1640900,1641000,1640900,1641000,41
70,31583,1640800,1640800,1640800,1640800,40,1641000,1641000,1640900,1640900,40
71,31584,1640800,1640900,1640800,1640800,45,1640900,1641000,1640900,1641000,45
72,31585,1640800,1640900,1640800,1640900,27,1640900,1641000,1640900,1641000,27
73,31586,1640900,1640900,1640900,1640900,41,1641000,1641100,1641000,1641000,41
74,31587,1640900,1640900,1640900,1640900,24,1641000,1641100,1641100,1641100,24
75,31588,1640900,1640900,1640900,1640900,11,1641100,1641100,1641100,1641100,11
76,31589,1640900,1640900,1640900,1640900,8,1641100,1641100,1641100,1641100,8
77,31590,1640900,1641000,1640900,1640900,45,1641100,1641100,1641000,1641100,45
78,31591,1640900,1640900,1640900,1640900,21,1641100,1641100,1641000,1641100,21
79,31592,1640900,1641100,1640900,1641000,65,1641100,1641200,1641100,1641200,65
80,31593,1641000,1641100,1641000,1641000,45,1641200,1641200,1641100,1641100,45
81,31594,1641000,1641100,1641000,1641000,33,1641200,1641200,1641100,1641200,33
82,31595,1641000,1641000,1641000,1641000,25,1641200,1641200,1641100,1641200,25
83,31596,1641000,1641100,1641000,1641100,40,1641100,1641200,1641100,1641200,40
84,31597,1641100,1641100,1641100,1641100,39,1641200,1641300,1641200,1641300,39
85,31598,1641100,1641100,1641100,1641100,24,1641300,1641300,1641200,1641300,24
86,31599,1641100,1641100,1641100,1641100,46,1641300,1641200,1641200,1641200,46
87,31600,1641100,1641100,1641000,1641100,31,1641200,1641200,1641100,1641200,31
88,31601,1641100,1641100,1641100,1641100,1,1641200,1641200,1641200,1641200,1
89,31604,1641100,1641100,1641100,1641100,24,1641200,1641200,1641200,1641200,24
90,31605,1641100,1641100,1641000,1641000,46,1641200,1641200,1641100,1641100,46
91,31606,1641000,1641000,1640900,1640900,61,1641100,1641100,1641000,1641000,61
92,31607,1640900,1641000,1640800,1641000,53,1641000,1641100,1641000,1641100,53
93,31608,1641000,1641000,1641000,1641000,28,1641100,1641200,1641100,1641200,28
94,31613,1641200,1641200,1641200,1641200,6,1641400,1641400,1641400,1641400,6
95,31614,1641200,1641200,1641200,1641200,6,1641400,1641400,1641400,1641400,6
96,31615,1641200,1641200,1641200,1641200,4,1641400,1641400,1641400,1641400,4
97,31617,1641300,1641300,1641300,1641300,1,1641500,1641500,1641500,1641500,1
98,31619,1641300,1641300,1641300,1641300,28,1641500,1641500,1641400,1641400,28
99,31620,1641300,1641300,1641300,1641300,1,1641400,1641400,1641400,1641400,1
100,31626,1641300,1641300,1641300,1641300,21,1641400,1641500,1641400,1641500,21
101,31627,1641300,1641300,1641300,1641300,9,1641500,1641500,1641500,1641500,9
102,31628,1641300,1641300,1641300,1641300,7,1641500,1641500,1641500,1641500,7
103,31629,1641300,1641400,1641300,1641300,22,1641500,1641500,1641500,1641500,22
104,31630,1641300,1641400,1641300,1641400,46,1641400,1641500,1641400,1641500,46
105,31631,1641400,1641400,1641300,1641300,18,1641500,1641500,1641500,1641500,18
106,31632,1641300,1641400,1641300,1641400,28,1641500,1641500,1641500,1641500,28
107,31633,1641400,1641400,1641300,1641300,54,1641500,1641500,1641400,1641400,54
108,31634,1641300,1641400,1641300,1641400,37,1641400,1641600,1641400,1641500,37
109,31635,1641400,1641400,1641400,1641400,18,1641500,1641500,1641500,1641500,18
110,31636,1641400,1641400,1641400,1641400,22,1641500,1641500,1641500,1641500,22
111,31637,1641400,1641500,1641400,1641500,48,1641500,1641600,1641500,1641600,48
112,31638,1641500,1641500,1641500,1641500,9,1641600,1641600,1641600,1641600,9
113,31653,1641900,1642000,1641900,1641900,36,1642100,1642200,1642000,1642100,36
114,31654,1641900,1642000,1641900,1642000,50,1642100,1642200,1642100,1642200,50
115,31655,1642000,1642000,1642000,1642000,18,1642200,1642300,1642200,1642300,18
116,31656,1642000,1642000,1642000,1642000,22,1642300,1642200,1642200,1642200,22
117,31657,1642000,1642000,1642000,1642000,9,1642200,1642200,1642200,1642200,9
118,31677,1642300,1642300,1642300,1642300,23,1642400,1642500,1642400,1642400,23
119,31678,1642300,1642300,1642100,1642300,65,1642400,1642400,1642300,1642400,65
120,31679,1642300,1642300,1642100,1642100,61,1642400,1642400,1642200,1642200,61
121,31761,1642400,1642400,1642400,1642400,13,1642600,1642600,1642500,1642500,13
122,31762,1642400,1642400,1642400,1642400,6,1642500,1642500,1642500,1642500,6
123,31763,1642400,1642400,1642400,1642400,7,1642500,1642500,1642500,1642500,7
124,31764,1642400,1642400,1642400,1642400,4,1642500,1642500,1642500,1642500,4
125,31765,1642400,1642400,1642400,1642400,10,1642500,1642500,1642500,1642500,10
126,31766,1642400,1642400,1642300,1642300,32,1642500,1642500,1642400,1642400,32
127,31767,1642300,1642300,1642200,1642200,16,1642400,1642400,1642400,1642400,16
128,31768,1642200,1642200,1642200,1642200,16,1642400,1642400,1642300,1642300,16
129,31769,1642200,1642200,1642100,1642100,47,1642300,1642300,1642200,1642200,47
130,31770,1642100,1642100,1642100,1642100,9,1642200,1642200,1642200,1642200,9
131,31771,1642100,1642100,1642100,1642100,9,1642200,1642200,1642200,1642200,9
132,31772,1642100,1642200,1642100,1642200,40,1642200,1642300,1642200,1642300,40
133,31773,1642200,1642200,1642100,1642100,26,1642300,1642300,1642300,1642300,26
134,31774,1642100,1642200,1642100,1642200,25,1642300,1642300,1642300,1642300,25
135,31775,1642200,1642200,1642100,1642100,12,1642300,1642300,1642300,1642300,12
136,31776,1642100,1642200,1642100,1642100,20,1642300,1642300,1642300,1642300,20
137,31777,1642100,1642100,1642100,1642100,7,1642300,1642300,1642300,1642300,7
138,31778,1642100,1642100,1642100,1642100,19,1642300,1642300,1642200,1642200,19
139,31779,1642100,1642200,1642100,1642100,19,1642200,1642300,1642200,1642200,19
140,31780,1642100,1642100,1642100,1642100,10,1642200,1642200,1642200,1642200,10
141,31781,1642100,1642100,1642100,1642100,14,1642200,1642200,1642200,1642200,14
142,31782,1642100,1642100,1642100,1642100,22,1642200,1642200,1642200,1642200,22
