,date,open,high,low,close,volumn
0,31503,1639200,1639200,1639100,1639200,34
1,31504,1639000,1639000,1639000,1639000,6
2,31506,1639400,1639700,1639400,1639500,102
3,31507,1639400,1639600,1639400,1639600,24
4,31508,1639600,1640000,1639600,1640000,67
5,31509,1640000,1640000,1639600,1639700,74
6,31510,1639600,1640100,1639600,1640000,108
7,31511,1640000,1640200,1640000,1640200,105
8,31512,1640200,1640300,1640000,1640300,90
9,31513,1640300,1640300,1639900,1640000,153
10,31514,1640000,1640100,1640000,1640100,81
11,31515,1640100,1640100,1640000,1640000,67
12,31516,1640000,1640100,1639900,1640000,64
13,31517,1640100,1640100,1639800,1639900,80
14,31518,1640000,1640000,1640000,1640000,38
15,31519,1640200,1640200,1639900,1639900,95
16,31520,1639900,1640000,1639900,1640000,88
17,31521,1640000,1640000,1640000,1640000,32
18,31523,1640200,1640200,1640200,1640200,3
19,31524,1640200,1640200,1640100,1640100,12
20,31525,1640100,1640100,1640100,1640100,12
21,31527,1640200,1640200,1640200,1640200,3
22,31528,1640200,1640200,1640200,1640200,10
23,31530,1640200,1640200,1640200,1640200,8
24,31531,1640200,1640400,1640200,1640300,14
25,31532,1640200,1640300,1640000,1640200,156
26,31533,1640100,1640100,1640100,1640100,24
27,31534,1640100,1640100,1640100,1640100,26
28,31535,1640200,1640200,1640200,1640200,4
29,31536,1640300,1640300,1640200,1640200,19
30,31537,1640300,1640300,1640300,1640300,1
31,31538,1640300,1640300,1640300,1640300,9
32,31539,1640300,1640300,1640300,1640300,6
33,31541,1640300,1640300,1640300,1640300,28
34,31542,1640300,1640300,1640200,1640200,46
35,31544,1640300,1640300,1640200,1640200,70
36,31545,1640200,1640200,1640100,1640100,75
37,31546,1640100,1640200,1640000,1640200,70
38,31547,1640200,1640200,1640200,1640200,19
39,31549,1640400,1640500,1640400,1640400,45
40,31551,1640600,1640600,1640600,1640600,4
41,31552,1640600,1640600,1640500,1640500,11
42,31553,1640700,1640700,1640600,1640600,13
43,31554,1640800,1640800,1640800,1640800,7
44,31555,1640800,1640800,1640700,1640700,10
45,31556,1640700,1640700,1640700,1640700,5
46,31558,1640800,1640800,1640800,1640800,2
47,31560,1640800,1640800,1640700,1640700,15
48,31561,1640600,1640600,1640600,1640600,18
49,31562,1640600,1640600,1640500,1640500,17
50,31563,1640400,1640400,1640400,1640400,31
51,31564,1640400,1640400,1640400,1640400,10
52,31565,1640500,1640600,1640500,1640600,6
53,31566,1640600,1640600,1640500,1640500,11
54,31567,1640600,1640600,1640600,1640600,6
55,31568,1640600,1640600,1640500,1640500,53
56,31569,1640500,1640700,1640600,1640600,41
57,31570,1640600,1640600,1640500,1640500,61
58,31571,1640500,1640800,1640500,1640700,53
59,31572,1640700,1640800,1640700,1640700,17
60,31573,1640700,1640700,1640700,1640700,9
61,31574,1640700,1640700,1640700,1640700,24
62,31575,1640700,1640700,1640700,1640700,33
63,31576,1640700,1640700,1640700,1640700,31
64,31577,1640800,1640900,1640800,1640900,42
65,31578,1640900,1640900,1640900,1640900,23
66,31579,1640900,1640900,1640800,1640900,56
67,31580,1640900,1640900,1640800,1640800,49
68,31581,1640800,1640800,1640700,1640700,44
69,31582,1640700,1640900,1640700,1640800,41
70,31583,1640800,1640800,1640800,1640800,40
71,31584,1640800,1640900,1640800,1640800,45
72,31585,1640800,1640900,1640800,1640900,27
73,31586,1640900,1640900,1640900,1640900,41
74,31587,1640900,1640900,1640900,1640900,24
75,31588,1640900,1640900,1640900,1640900,11
76,31589,1640900,1640900,1640900,1640900,8
77,31590,1640900,1641000,1640900,1640900,45
78,31591,1640900,1640900,1640900,1640900,21
79,31592,1640900,1641100,1640900,1641000,65
80,31593,1641000,1641100,1641000,1641000,45
81,31594,1641000,1641100,1641000,1641000,33
82,31595,1641000,1641000,1641000,1641000,25
83,31596,1641000,1641100,1641000,1641100,40
84,31597,1641100,1641100,1641100,1641100,39
85,31598,1641100,1641100,1641100,1641100,24
86,31599,1641100,1641100,1641100,1641100,46
87,31600,1641100,1641100,1641000,1641100,31
88,31601,1641100,1641100,1641100,1641100,1
89,31604,1641100,1641100,1641100,1641100,24
90,31605,1641100,1641100,1641000,1641000,46
91,31606,1641000,1641000,1640900,1640900,61
92,31607,1640900,1641000,1640800,1641000,53
93,31608,1641000,1641000,1641000,1641000,28
94,31613,1641200,1641200,1641200,1641200,6
95,31614,1641200,1641200,1641200,1641200,6
96,31615,1641200,1641200,1641200,1641200,4
97,31617,1641300,1641300,1641300,1641300,1
98,31619,1641300,1641300,1641300,1641300,28
99,31620,1641300,1641300,1641300,1641300,1
100,31626,1641300,1641300,1641300,1641300,21
101,31627,1641300,1641300,1641300,1641300,9
102,31628,1641300,1641300,1641300,1641300,7
103,31629,1641300,1641400,1641300,1641300,22
104,31630,1641300,1641400,1641300,1641400,46
105,31631,1641400,1641400,1641300,1641300,18
106,31632,1641300,1641400,1641300,1641400,28
107,31633,1641400,1641400,1641300,1641300,54
108,31634,1641300,1641400,1641300,1641400,37
109,31635,1641400,1641400,1641400,1641400,18
110,31636,1641400,1641400,1641400,1641400,22
111,31637,1641400,1641500,1641400,1641500,48
112,31638,1641500,1641500,1641500,1641500,9
113,31653,1641900,1642000,1641900,1641900,36
114,31654,1641900,1642000,1641900,1642000,50
115,31655,1642000,1642000,1642000,1642000,18
116,31656,1642000,1642000,1642000,1642000,22
117,31657,1642000,1642000,1642000,1642000,9
118,31677,1642300,1642300,1642300,1642300,23
119,31678,1642300,1642300,1642100,1642300,65
120,31679,1642300,1642300,1642100,1642100,61
121,31761,1642400,1642400,1642400,1642400,13
122,31762,1642400,1642400,1642400,1642400,6
123,31763,1642400,1642400,1642400,1642400,7
124,31764,1642400,1642400,1642400,1642400,4
125,31765,1642400,1642400,1642400,1642400,10
126,31766,1642400,1642400,1642300,1642300,32
127,31767,1642300,1642300,1642200,1642200,16
128,31768,1642200,1642200,1642200,1642200,16
129,31769,1642200,1642200,1642100,1642100,47
130,31770,1642100,1642100,1642100,1642100,9
131,31771,1642100,1642100,1642100,1642100,9
132,31772,1642100,1642200,1642100,1642200,40
133,31773,1642200,1642200,1642100,1642100,26
134,31774,1642100,1642200,1642100,1642200,25
135,31775,1642200,1642200,1642100,1642100,12
136,31776,1642100,1642200,1642100,1642100,20
137,31777,1642100,1642100,1642100,1642100,7
138,31778,1642100,1642100,1642100,1642100,19
139,31779,1642100,1642200,1642100,1642100,19
140,31780,1642100,1642100,1642100,1642100,10
141,31781,1642100,1642100,1642100,1642100,14
142,31782,1642100,1642100,1642100,1642100,22
143,31783,1642100,1642100,1642000,1642000,17
144,31784,1642000,1642100,1642000,1642100,43
145,31785,1642100,1642100,1642000,1642000,33
146,31786,1642000,1642100,1642000,1642100,65
147,31787,1642100,1642100,1642100,1642100,8
148,31788,1642100,1642100,1642100,1642100,15
149,31789,1642100,1642100,1642100,1642100,26
150,31790,1642100,1642100,1642100,1642100,16
151,31791,1642100,1642200,1642100,1642100,67
152,31792,1642100,1642200,1642100,1642200,21
153,31793,1642200,1642200,1642100,1642200,25
154,31794,1642200,1642200,1642200,1642200,6
155,31795,1642200,1642200,1642100,1642100,25
156,31796,1642100,1642200,1642100,1642200,32
157,31797,1642200,1642200,1642200,1642200,10
158,31798,1642100,1642200,1642000,1642000,48
159,31799,1642000,1642000,1641800,1641800,43
160,31800,1641800,1642100,1641800,1642100,73
161,31801,1642100,1642100,1642000,1642000,103
162,31802,1642000,1642000,1641900,1641900,28
163,31804,1641700,1641800,1641700,1641700,21
164,31805,1641700,1641700,1641700,1641700,34
165,31806,1641700,1641700,1641600,1641600,22
166,31807,1641600,1641600,1641600,1641600,6
167,31808,1641600,1641700,1641600,1641700,9
168,31809,1641700,1641700,1641700,1641700,7
169,31810,1641700,1641700,1641700,1641700,24
170,31811,1641700,1641700,1641700,1641700,10
171,31812,1641700,1641700,1641700,1641700,12
172,31813,1641700,1641700,1641700,1641700,6
173,31814,1641700,1641700,1641700,1641700,9
174,31815,1641700,1641700,1641700,1641700,6
175,31816,1641700,1641900,1641700,1641900,60
176,31817,1641900,1641900,1641800,1641800,34
177,31818,1641800,1641900,1641700,1641700,40
178,31819,1641700,1641700,1641600,1641600,40
179,31820,1641600,1641700,1641600,1641700,29
180,31821,1641700,1641700,1641600,1641700,19
181,31822,1641700,1641700,1641700,1641700,9
182,31823,1641700,1641800,1641700,1641800,21
183,31824,1641800,1641800,1641800,1641800,25
184,31825,1641800,1641800,1641800,1641800,1
185,31826,1641800,1641800,1641800,1641800,16
186,31827,1641800,1641800,1641800,1641800,6
187,31828,1641800,1641800,1641800,1641800,6
188,31829,1641800,1641800,1641800,1641800,9
189,31830,1641800,1641900,1641800,1641900,40
190,31831,1641900,1641800,1641800,1641800,16
191,31832,1641800,1641800,1641800,1641800,10
192,31833,1641800,1641800,1641700,1641700,40
193,31834,1641700,1641700,1641700,1641700,5
194,31835,1641700,1641800,1641700,1641800,28
195,31836,1641800,1641800,1641800,1641800,16
196,31837,1641800,1641800,1641800,1641800,6
197,31838,1641800,1641800,1641800,1641800,5
198,31839,1641800,1641800,1641800,1641800,10
199,31840,1641800,1641800,1641800,1641800,1
200,31841,1641800,1641800,1641800,1641800,5
201,31842,1641800,1641800,1641800,1641800,2
202,31843,1641800,1641800,1641800,1641800,2
203,31844,1641800,1641800,1641800,1641800,2
204,31845,1641800,1641800,1641800,1641800,5
205,31846,1641800,1641800,1641800,1641800,8
206,31847,1641800,1641800,1641800,1641800,7
207,31848,1641800,1641800,1641800,1641800,6
208,31849,1641800,1641800,1641800,1641800,1
209,31850,1641800,1641800,1641800,1641800,6
210,31851,1641800,1641800,1641800,1641800,7
211,31852,1641800,1641800,1641800,1641800,3
212,31853,1641800,1641800,1641800,1641800,7
213,31854,1641800,1641800,1641800,1641800,5
214,31855,1641800,1641800,1641800,1641800,25
215,31856,1641800,1641800,1641800,1641800,9
216,31857,1641800,1641900,1641800,1641900,22
217,31863,1641900,1642000,1641900,1642000,13
218,31864,1642000,1642000,1642000,1642000,23
219,31865,1642100,1642000,1642000,1642000,5
220,31866,1642000,1642200,1642000,1642200,25
221,31867,1642200,1642200,1642200,1642200,15
222,31868,1642200,1642200,1642200,1642200,16
223,31869,1642200,1642200,1642200,1642200,7
224,31870,1642200,1642200,1642200,1642200,13
225,31871,1642200,1642200,1642200,1642200,4
226,31872,1642200,1642200,1642000,1642000,71
227,31873,1642000,1642100,1642000,1642000,36
228,31874,1642000,1642100,1642000,1642000,33
229,31875,1642000,1642000,1642000,1642000,3
230,31876,1642000,1642000,1642000,1642000,28
231,31877,1642000,1642000,1641900,1641900,49
232,31878,1641900,1641900,1641900,1641900,18
233,31879,1641900,1641900,1641900,1641900,31
234,31880,1641900,1641900,1641900,1641900,4
