,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
0,4,2.2447860299995384,2.2361286656058934,2.3036252662354895,2.36623303867866,2.1668245104685986,2.2637382183882098,2.0994622718691147,2.1134877066162767,2.453861318184392,2.2627224897511846
1,5,2.1664683612763658,2.199059110155208,2.246933974874794,2.2995705408639675,2.146978721147765,2.1616441035303446,2.041026612588463,1.9646461162457554,2.4342566495033733,2.203271576419749
2,6,2.081935120367835,2.186530895573637,2.186355682181913,2.228522733366678,1.9400799867948242,2.035588912782939,2.0102868288773643,1.850064402370973,2.3858081611323274,2.1370810395533955
3,7,2.0047621780008535,2.195919306076809,2.126721669564181,2.1625034568814185,1.8548769774089118,1.9660497028728627,2.0527232976793313,1.7790886499559309,2.322723924163866,2.0772439617380507
4,8,1.9574328955030462,2.2232076625644064,2.0788268730918427,2.1058525581974914,1.8088500834753367,2.009365413509468,2.1045089719346524,1.7502098387894325,2.2555991577302423,2.019281996176632
5,9,1.9260562022446912,2.264153120087788,2.04336831050147,2.0601736546250757,1.7483263484589866,2.054831263696129,2.181234424301739,1.7564839779847923,2.1907136229373205,1.9731649487729093
6,10,1.9134619707248923,2.3147291342854834,2.019191707871506,2.0257359214014814,1.6979333779134025,2.127621178096603,2.3018768503106126,1.789645498204842,2.13128970330045,1.932714764475246
7,11,1.9188682100166135,2.371293190670851,2.0062139211778427,2.0022607460125017,1.6773336560350358,2.2054102757794856,2.4348715996265047,1.8421560559497765,2.078633265397192,1.9053681841635002
8,12,1.9395692667876212,2.4306572221875555,2.0050192335494263,1.9893181868480934,1.6836912086588884,2.288708633345657,2.582070257332289,1.907712744774212,2.032954148464989,1.88614260116294
9,13,1.9736818232727003,2.4901229659706274,2.0155043258654874,1.9864879849767298,1.712788112232865,2.420750369784627,2.7456946443568264,1.9808162618016933,1.993926910842931,1.8775596527851692
10,14,2.01810745634952,2.5474979946380047,2.0371344563741562,1.993390636494636,1.7591253860125955,2.587321156598536,2.9607573248619703,2.0559144406763563,1.9610439274751839,1.8755328693736582
11,15,2.0686804412467197,2.601092847961151,2.06864355276979,2.0096540787554367,1.752750144590546,2.776721467324493,3.055965103806901,2.1267422742192594,1.9338120864541248,1.8791141635266249
12,16,2.123845461138319,2.649697741716819,2.1083627659249897,2.034854032921744,1.7544021535730974,2.857712247324614,3.156842201905939,2.1864570543618314,1.911845307631747,1.8850447549781395
13,17,2.182316921000492,2.692539992522394,2.15477887648366,2.068450376201775,1.762727590598199,2.9432681959334044,3.5226380222556637,2.2287146865591674,1.894896536791247,1.8920786264333618
14,18,2.250648544597934,2.729226407297278,2.2073463754960745,2.1097339994450883,1.7673221731971256,3.287824266636993,3.8359292152028934,2.2491389418432854,1.8828592697462758,1.9003160697309358
15,19,2.327709557742836,2.7596767566303466,2.2656113383451455,2.157794218115432,1.7503194694295645,3.583933242554639,4.103460148796423,2.246310202567206,1.875755978160599,1.9087806016843167
16,20,2.399681467206312,2.7840547581854,2.328155318313244,2.2115131253961295,1.81297261428323,3.8376331879556353,4.331005276042406,2.221765943283915,1.8737214887635987,1.918161940851395
17,21,2.463887058094546,2.8027020871177624,2.3935656262074114,2.269589035475442,1.8875879802134523,4.054118338195563,4.523526323987328,2.179172212414595,1.8769835248600186,1.9261318503264788
18,22,2.5112133606051286,2.8160793701977966,2.4598144174843526,2.330586453422774,1.9741380142617204,4.182937128129467,4.673831280846345,2.1232004638015733,1.8858393489493122,1.933735409848574
19,23,2.548574184528591,2.8247164217858547,2.525801372554052,2.3930056568469964,2.118033883853163,4.319186161861677,4.65063459331097,2.058573690782864,1.900626075899541,1.9379756521728366
20,24,2.572984246465538,2.829172499745673,2.5902032406973894,2.455361863897288,2.504537370171534,4.260791940457318,4.54743626482362,1.989477550983458,1.9216826591446357,1.941431027797054
21,25,2.580963522673465,2.830006252944856,2.651446665255349,2.516262974195495,3.1599774673341923,4.104145319415698,4.405408812477951,1.9193157405401289,1.949303210591463,1.940243079931017
22,26,2.571875032469834,2.8277542968363716,2.708093791416309,2.574476799061109,3.052522803590195,3.896342625121555,4.1256610830702405,1.850696924720131,1.983681291866529,1.9374912845898753
23,27,2.547862505042689,2.822917092697701,2.7588781743993747,2.6289797130515704,3.0261128887247724,3.5782270408756696,3.8147936387451966,1.7855521528817673,2.0248536188978306,1.929273472841405
24,28,2.5109110987535246,2.8159506354995103,2.8029118208057007,2.678983977224184,3.0116131701608246,3.5782270408756696,3.73242270785752,1.7252939146767532,2.072649371902925,1.9197481687739075
25,29,2.463468689864322,2.807262555099872,2.8396517250294866,2.7239443864627106,2.9337220710277876,3.5782270408756696,3.653610594131288,1.6709648758318782,2.1266518171867004,1.9046409844490721
26,30,2.4138612914012283,2.797211323892313,2.8692037087460402,2.763548805111394,2.998394357676319,3.5782270408756696,3.5782270408756696,1.6233595191725234,2.1861741668375334,1.8884762513340703
27,31,2.3654247874451158,2.7861078895008857,2.8918421954883757,2.797690908637437,3.021481508827143,3.5782270408756696,3.733957467909733,1.5831206821867312,2.2502794758676132,1.8675751138859409
28,32,2.321099733931527,2.7742183697711913,2.9079637215558747,2.8264420187312727,3.020025769360069,3.50615001470935,3.8399201722003253,1.5507792697723044,2.3177957268007723,1.8460384147503326
29,33,2.289235925842157,2.7617679233730357,2.918188814455733,2.8500117179522713,3.104912020526407,3.6782016027192754,3.9034394810813042,1.526766374043633,2.387389822339106,1.8212379541814527
30,34,2.2605560667055262,2.748944806692396,2.9227208374217186,2.8687123024790253,3.275639095888297,3.792633899333503,3.9352674969510573,1.5113832398719238,2.4576468539971232,1.7968306306733577
31,35,2.227244447301841,2.735904334412155,2.9215025549948486,2.8829316024727154,3.4413451822444765,3.8640646577826647,3.9433398021138597,1.5047726520303186,2.527119543775067,1.7700604400557491
32,36,2.185846447966214,2.7227735357539857,2.914295391671683,2.8930919190840356,3.5915985693062558,3.9032007788080487,3.9335701903881124,1.506971023356122,2.5944678149618645,1.743131773856842
33,37,2.1509666288455804,2.7096541282932325,2.9016001020185014,2.899641464864775,3.583372039318313,3.917973586850645,3.9104009559452915,,2.658463964562832,1.7145534331984178
34,38,2.122750286502335,2.6966274632004317,2.884063424694967,2.9030102020914583,3.6418312825728307,3.9143145690409584,3.76765976396103,,2.7181551493505913,1.6865981866299962
35,39,2.09999596566438,2.683755798486977,2.8623535277418966,2.9036309768320305,3.672537444028671,3.896694436984061,3.634694084724189,,2.7727445746987778,1.6583180839985576
36,40,2.081239678592648,2.6710873277236997,2.83711906466578,2.901889345238221,3.6144213422704428,3.758513521171044,3.5105232360313927,,2.8217829010040836,1.631655135231306
37,41,2.0673145334632377,2.658656575592689,2.809193282834567,2.898151761173578,3.479085812929441,3.6295759092443585,3.421318533447081,,2.86500755779057,1.6056448253614366
38,42,2.0584227954251566,2.6464855304457644,2.7795538563603,2.892786268735657,3.3479629608526835,3.508945840791982,3.342367902433086,,2.902240093573285,1.5819126437503503
39,43,2.0534350196036715,2.634590022760835,2.7491037651822237,2.8860748035804207,3.1519742304605,3.4252884048800007,3.273101191247083,,2.9336552585896443,1.5595086671479366
40,44,2.051935391414204,2.622978053473048,2.71859573006758,2.878271834485182,2.9493757551304567,3.35164311235359,3.213003064722038,,2.9594986579237137,1.5401327861662557
41,45,2.057157749248226,2.611649272220058,2.6888348301784832,2.869654408006,2.732202103838029,3.2874613370882346,3.1615999666876844,,2.9799463150839336,1.5227514765470938
42,46,2.069532889562312,2.600601167446278,2.6604947027900128,2.8604183551889193,2.6351917865655,3.23224064457069,3.118446000472744,,2.995385777927962,1.509028024967124
43,47,2.0832928675416595,2.5898273217263257,2.6337948156585558,2.8507310239141357,2.6047391478751543,3.1855104081403405,3.0831067386991378,,3.0062269304246607,1.4974657100413864
44,48,2.097618999026884,2.5793172039158625,2.608816857928293,2.8407739566625914,2.609922683931382,3.1468155468066485,3.0551396445716725,,3.0128501767540925,1.4893393099401802
45,49,2.105536126701566,2.569059661099163,2.5851927088995024,2.830672397502086,2.6210075064143035,3.115697105582557,3.0339677567842958,,3.015716138834639,1.4826324352117817
46,50,2.1062161832535047,2.5590423628593006,2.5624481665435836,2.820533565125374,2.623398687168538,3.093347751251234,3.1053014646101786,,3.015269759631554,1.4780743528986557
47,51,2.0992241563765917,2.5492523452354807,2.5400621122539113,2.8104488308557705,2.6311007995678644,3.166863424711281,3.1586323577687434,,3.01194492574605,1.4735033259941313
48,52,2.089441225974483,2.5396755169564345,2.5179942959498938,2.800473640996776,2.642495576534039,3.2223334815336804,3.1740252820839365,,3.006159582303738,1.4704326635596383
49,53,2.074718562329804,2.5302947619550338,2.4959540601222607,2.7906226837223262,2.6253765541784313,3.2395657698819735,3.2522563656097354,,2.998287989308393,1.467100398457959
50,54,2.0545274934107125,2.5210988286868767,2.473515398574447,2.781005374406806,2.621690444435102,3.3243067743893544,3.178099681925964,,2.988678384745378,1.464517593208044
51,55,2.031865570896078,2.512070176550535,2.4504070867006633,2.7716141552861386,2.6113576326086894,3.255628762696519,2.7177177177177176,,2.9776198523222295,1.461027988417455
52,56,2.0097696015933857,2.503200222091805,2.426633018097301,2.7625189041936906,2.5551988374984234,2.788331912408627,2.701129126610082,,2.96541067956888,1.4581807469154786
53,57,1.9906202329480125,2.4944700122079886,2.4022625767515042,2.7536853906516283,2.507349175031291,2.770383108617125,2.599259269495999,,2.9522459149313676,1.454674660283881
54,58,1.9747177561226525,2.485875542752929,2.3774293402250986,2.7451434878199756,2.4631560775965426,2.6631680008276177,2.34016984457619,,2.9383810926035707,1.4521070082636183
55,59,1.9624294185681443,2.4773899648290616,2.3523064986031255,2.7368044645391443,2.4720358895944003,2.3907629989123604,1.7800118976799528,,2.9239149507011724,1.4494061752608955
56,60,1.9534437807783651,2.46901205125891,2.327200989275352,2.728708943321533,2.5963192722833743,1.8005511801512255,1.7751318622995735,,2.9090796080829175,1.448200008434684
57,61,1.9495518153059992,2.4607325734891847,2.302448748355711,2.7208309922066514,2.794541871884554,1.785084404132023,1.7634245761969283,,2.8940125992133847,1.447591418136628
58,62,1.9508780197179199,2.4525433134190466,2.2783121954840464,2.7131479033188373,2.9501095385343765,1.7600014872072414,1.7392559877696618,,2.8788286315709177,1.4490923685217738
59,63,1.9582002444413074,2.444437056805814,2.255026031660119,2.7056315476505115,3.1089930839106943,1.7185227530229348,1.8529158287900211,,2.8636214713522303,1.4518479231814059
60,64,1.9731406493662191,2.4364075723036587,2.2328291168513457,2.6982621678014382,3.152944341752336,1.8239775350390277,1.9842321959658462,,2.8484669699876513,1.457271694377219
61,65,1.9967490392438587,2.428420780124388,2.2119563040426575,2.690950147300204,3.2192263158481094,1.9459532388374787,2.1352493660185967,,2.833316506482152,1.464536024888417
62,66,2.028244235426572,2.420496277073939,2.192623746331221,2.6837499556642417,3.3141936785336754,2.086181674145134,2.3083358814696906,,2.818278237111814,1.4749674661964778
63,67,2.0686072879369943,2.412630547413008,2.1749745268550846,2.676627146587751,3.4160620190024242,2.2466250544275748,2.5061548296069875,,2.803303977246004,1.487736921608231
64,68,2.117345707688188,2.40484063376456,2.159124478050554,2.6696022178513914,3.5026260469249095,2.4294113967598676,2.7315296566077003,,2.788363064740443,1.5040676699149922
65,69,2.174236259961137,2.3971291509563404,2.1451211650032262,2.662672070439098,3.428625168898167,2.636652419464224,2.987067043268921,,2.7733336991938007,1.5231566174971605
