,timeperiod,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
0,4,1.4809922884307138,1.465465969332397,1.4868120199831518,1.5405959287983482,1.4861518369243933,1.5247215036007435,1.6315179625446907,1.4984415911306221,1.5776919464381174,1.4897673626309176
1,5,1.4723985576151555,1.4547502464249629,1.4733738268270196,1.528094637185665,1.565006981955649,1.5368332350415865,1.6837980556519156,1.497211460409305,1.5678908529649005,1.4793847501451654
2,6,1.467409324452809,1.4470818363302458,1.4652681845674527,1.5182498053490885,1.4850628131838168,1.5665437336510128,1.780667507571173,1.4858004881964595,1.5627708631257615,1.4704242833249845
3,7,1.4681525210058037,1.4412546460940256,1.4615903141410957,1.508435475316479,1.4918126169044146,1.5891320427348068,1.8556301652892564,1.4627803959200485,1.5616349895457775,1.4655276689709786
4,8,1.4676072492913461,1.4367455973217869,1.4601831364706754,1.4974454400403754,1.4697498927516353,1.5811255333182435,1.8801960307921886,1.4299751154220002,1.562473307458412,1.460896253473751
5,9,1.4574064449862139,1.4332398112173035,1.4579371560356171,1.4851740694172135,1.4609453687473952,1.5330081471357349,1.857072518452981,1.39175960246827,1.5631867273694346,1.4539449127441564
6,10,1.438364419232669,1.430491540078965,1.4529142700087114,1.4721450559594713,1.438704596237709,1.5127713700947327,1.814301566044584,1.353259513790718,1.5620486066552257,1.442960501960069
7,11,1.413820533435743,1.4282920819809088,1.4446960573934493,1.4591142249998565,1.433890251116593,1.4985584261405396,1.826291172345315,1.3185552903039228,1.5579361548824673,1.4273605462793924
8,12,1.3878390743539422,1.4264678812349838,1.4344289132875268,1.4468003365549698,1.4391176586608254,1.5204687974340036,1.8743026622413672,1.2901394327731084,1.550408851817252,1.4074487006533885
9,13,1.3633765861650824,1.4248831410283256,1.4234309698477696,1.4357438956523798,1.4317566190001119,1.55622688081284,1.9236159161299502,1.2692514358999258,1.5396419194263646,1.384657211495647
10,14,1.3425159998578575,1.423439647653891,1.412527227870152,1.4262645399587082,1.3949869939944803,1.5947069613066642,1.973001508133312,1.256390862336878,1.5262555690208977,1.3596799144922909
11,15,1.325656926560913,1.4220731393058201,1.4021489581339481,1.4184788229640868,1.429239668971463,1.636147270502855,2.037683119512008,1.2516729658890706,1.5111067850053481,1.3349910854019122
12,16,1.312411926447267,1.420747516220346,1.392608199623743,1.412345791427291,1.4635663852821152,1.6808147840548613,2.0994544257535286,1.2549982317242265,1.4951028819339063,1.3110186646458954
13,17,1.302583310190992,1.4194483360858678,1.3840417812997239,1.4077186063029516,1.4949889674074348,1.708631646760013,2.160809398229885,1.266113565890888,1.4790689094745841,1.2894558911067058
14,18,1.2956800882145556,1.4181766208318596,1.3763966076103515,1.404390552219076,1.5087996495669727,1.738663609776822,2.219828464689764,1.2846357522932894,1.4636742562061882,1.270010120728981
15,19,1.2946911878014402,1.4169435312834533,1.369866129408006,1.4021308690997503,1.514062558118008,1.7711031126464096,2.2734470713078934,1.3100723989821834,1.4494076220716487,1.253727374892741
16,20,1.298346995734872,1.4157661124069167,1.3646069945731114,1.4007099308989688,1.5309432947314336,1.8061651545592485,2.270292629423175,1.3418491005265383,1.4365841409497306,1.240635132029849
17,21,1.3063041782435234,1.414664093711399,1.360656185183622,1.3999152178807799,1.5834172056595293,1.84409048906299,2.229430492011142,1.3793398307903733,1.4253698008629585,1.2309834464534501
18,22,1.319707612404817,1.4136576175242999,1.3579432602908652,1.3995601474329387,1.6080596096100672,1.885149312985602,2.1311177036656974,1.4218955059676637,1.4158123485363319,1.2249771672042808
19,23,1.3386177751221005,1.4127657261723643,1.3564123666919963,1.3994877809107802,1.6381221619327937,1.9296455148129175,1.944337982935161,1.4688674730023492,1.4078720375138176,1.222566472212962
